r,n_r,j,k,in_window_d0.5,in_window_d1,w,abs_D,arg_D,abs_H,arg_H,arg_DH,abs_term,term_re,term_im
22,4,0,4,1,1,0.47312252964426876,0.9999999999999998,0.31512889272119843,0.9981668275005469,0.13281365953363522,0.4479425522548336,0.47225521443405305,0.4256625691654923,0.20453939662467485
22,4,1,3,1,1,0.36047430830039523,0.9975954207533365,0.39509996627583965,0.9968584906686314,0.22443707490097325,0.619537041176813,0.35847780888231606,0.291853763436313,0.20815311726978042
22,4,2,2,1,1,0.13517786561264822,0.9874829901604438,0.5240744448890677,0.9950223081398938,0.3888268471823937,0.9129012920714614,0.1328213915448492,0.08121398368987538,0.10509905282699174
22,4,3,1,1,1,0.028458498023715414,0.95064455661289,0.7335227583594347,0.993853992625372,0.6881749325661892,1.421697690925624,0.026887642666927034,0.003994074060282561,0.026589334338891095
22,4,4,0,1,1,0.002766798418972332,0.8351820771048222,1.055428692598929,0.9999999999999997,1.2402832307973723,2.295711923396301,0.0023107804504876495,-0.00153221442585065,0.0017297471617467879
23,5,0,5,1,1,0.4168091168091168,0.9999999999999998,0.31512889272119843,0.9963069349232031,0.15480008424993943,0.46992897697113784,0.4152698136161384,0.3702547532323975,0.1880437071789396
23,5,1,4,1,1,0.3624427102687972,0.9975954207533365,0.39509996627583965,0.9934027428642542,0.25728401679117624,0.652383983067016,0.35918580994914023,0.2854229750869804,0.2180554318546475
23,5,2,3,1,1,0.16474668648581692,0.9874829901604438,0.5240744448890677,0.9885089402747068,0.439079893055099,0.9631543379441668,0.16081513270282705,0.09181468708053302,0.132028671668436
23,5,3,2,1,1,0.04707048185309055,0.95064455661289,0.7335227583594347,0.9815097499554216,0.7668928790990128,1.5004156374584476,0.04391990863395121,0.0030885621356532837,0.04381117618084261
23,5,4,1,1,1,0.008237334324290847,0.8351820771048222,1.055428692598929,0.9766935654475695,1.3670141321845664,2.422442824783495,0.006719333319160182,-0.005055398249342795,0.004426329042730328
23,5,5,0,1,1,0.0006936702588876502,0.5968029957733548,1.4333937165162012,1.0,2.481126323490104,-2.368665267173281,0.00041398448858302826,-0.00029635896803276927,-0.0002890579852796037
24,6,0,6,1,1,0.37282640730916594,0.9999999999999998,0.31512889272119843,0.9929302243697361,0.18144440947970977,0.4965733022009082,0.3701906082604527,0.32547908014855387,0.17636455094461378
24,6,1,5,1,1,0.3579133510167993,0.9975954207533365,0.39509996627583965,0.9872191866808545,0.2962684058459576,0.6913683721217972,0.35248929584141664,0.2715486851924567,0.22474433308322989
24,6,2,4,1,1,0.18641320365458297,0.9874829901604438,0.5240744448890677,0.9770039187119499,0.4972700304171411,1.0213444753062089,0.1798467521479379,0.0939195421998025,0.1533752713156242
24,6,3,3,1,1,0.06483937518420277,0.95064455661289,0.7335227583594347,0.9598717846522584,0.8553224951074949,1.5888452534669297,0.05916572801877787,-0.0010678199081345543,0.059156091255557014
24,6,4,2,1,1,0.015473032714412025,0.8351820771048222,1.055428692598929,0.9354058203197378,1.5039600828296553,2.5593887754285842,0.012088061962100025,-0.010096588102374808,0.0066468150787089685
24,6,5,1,1,1,0.002357795461243737,0.5968029957733548,1.4333937165162012,0.9168462101582218,2.7007663460007394,-2.149025244662646,0.001290130421186852,-0.0007051099884826754,-0.0010803964123476744
24,6,6,0,1,1,0.00017683465959328028,0.33934220705238705,1.6510090771824324,0.9999999999999998,-1.3201861776722312,0.3308228995102013,6.0007463669741284e-05,5.675358105878485e-05,1.9491709342160277e-05
25,6,0,6,1,1,0.38773946360153255,0.9999999999999998,0.31512889272119843,0.9937429189964667,0.1731234118024091,0.4882523045236075,0.3853133463695111,0.34029103134972455,0.18074398710167858
25,6,1,5,1,1,0.3579133510167993,0.9975954207533365,0.39509996627583965,0.9884434434757654,0.2862185062041069,0.6813184724799466,0.35292642006001906,0.27413312518109806,0.22227930100399693
25,6,2,4,1,1,0.17895667550839964,0.9874829901604438,0.5240744448890677,0.9787898744783521,0.48541676543946805,1.0094912103285358,0.17296849022325594,0.09206965915663774,0.14642840049967473
25,6,3,3,1,1,0.05965222516946655,0.95064455661289,0.7335227583594347,0.9623201218634823,0.8419962972015097,1.5755190555609444,0.054571310238455364,-0.00025772453860638624,0.054570701655778105
25,6,4,2,1,1,0.013616268788682582,0.8351820771048222,1.055428692598929,0.9384044111737154,1.4903775979662488,2.5458062905651775,0.010671594692697812,-0.008832958745079656,0.005988470012694135
25,6,5,1,1,1,0.0019805481874447394,0.5968029957733548,1.4333937165162012,0.9197216586842396,2.689989291005092,-2.1598022996582933,0.0010871083255915835,-0.0006039264742721845,-0.0009039232961063149
25,6,6,0,1,1,0.00014146772767462422,0.33934220705238705,1.6510090771824324,0.9999999999999998,-1.3196885226541335,0.33132055452829895,4.800597093579302e-05,4.539509910752747e-05,1.561596050539202e-05
26,7,0,7,1,1,0.3517797552836485,0.9999999999999998,0.31512889272119843,0.9887413829921367,0.20194364180453492,0.5170725345257333,0.34781920174778996,0.3023488178237222,0.1719400752153712
26,7,1,6,1,1,0.3517797552836485,0.9975954207533365,0.39509996627583965,0.9793894551648941,0.3278310208897055,0.7229309871655452,0.3437009346613886,0.2577309699128757,0.22738750984801367
