r,n_r,m,N_paths_log10,G_re,G_im,abs_G,r_abs_G,abs_Gmix_minus_G,tri_full,r_tri_full,abs_D_at_0,max_absH_all_j,argmax_absH_all_j,argmax_absterm_all_j,L_d0.5,jmax_d0.5,S_d0.5,r_S_d0.5,max_absH_window_d0.5,min_absH_window_d0.5,trunc_bound_d0.5,abs_signed_trunc_d0.5,abs_signed_trunc_minus_G_d0.5,weight_in_window_d0.5,ratio_S_over_absG_d0.5,ratio_full_over_S_d0.5,L_d1,jmax_d1,S_d1,r_S_d1,max_absH_window_d1,min_absH_window_d1,trunc_bound_d1,abs_signed_trunc_d1,abs_signed_trunc_minus_G_d1,weight_in_window_d1,ratio_S_over_absG_d1,ratio_full_over_S_d1,seconds
44,17,40,14.58795966337951,0.2511404896558593,0.565135424824495,0.6184250916126764,27.210704030957764,2.2887833992611187e-16,0.7220959057035345,31.77221985095552,0.9999999999999998,0.9999999999999996,17,1,23,17,0.7220959057035345,31.77221985095552,0.9999999999999996,0.06399346899808517,0.013705061117171074,0.6184250916126766,2.2887833992611187e-16,1.0,1.1676368172910225,1.0,31,17,0.7220959057035345,31.77221985095552,0.9999999999999996,0.06399346899808517,0.002066115702479339,0.6184250916126766,2.2887833992611187e-16,1.0,1.1676368172910225,1.0,0.0010952999873552471
45,18,41,15.266956006299017,0.2087884137095092,0.5418984673654148,0.5807293264786261,26.132819691538174,3.3422138886441676e-16,0.6824312746460944,30.70940735907425,0.9999999999999998,0.9999999999999998,18,1,23,18,0.6824312746460944,30.70940735907425,0.9999999999999998,0.04852195407622045,0.013250773199998754,0.5807293264786264,3.3422138886441676e-16,1.0,1.1751279701752957,1.0,31,18,0.6824312746460944,30.70940735907425,0.9999999999999998,0.04852195407622045,0.0019753086419753087,0.5807293264786264,3.3422138886441676e-16,1.0,1.1751279701752957,1.0,0.0011998999980278313
46,18,42,15.413084041977257,0.23559091460382883,0.5533769030117863,0.6014391705158424,27.66620184372875,3.3766115072321297e-16,0.7035429926522357,32.36297766200284,0.9999999999999998,0.9999999999999999,18,1,24,18,0.7035429926522357,32.36297766200284,0.9999999999999999,0.052633600450843886,0.012821039665643229,0.6014391705158427,3.3766115072321297e-16,1.0,1.169765833590155,1.0,31,18,0.7035429926522357,32.36297766200284,0.9999999999999999,0.052633600450843886,0.001890359168241966,0.6014391705158427,3.3766115072321297e-16,1.0,1.169765833590155,1.0,0.0011451000173110515
47,19,43,16.0906659399696,0.1960637471803149,0.5300330354736368,0.5651336228289588,26.561280272961067,3.3422138886441676e-16,0.6649094932611589,31.25074618327447,0.9999999999999998,0.9999999999999998,19,1,24,19,0.6649094932611589,31.25074618327447,0.9999999999999998,0.04057500989798765,0.012414041829608048,0.5651336228289592,3.3422138886441676e-16,1.0,1.1765527061241547,1.0,31,19,0.6649094932611589,31.25074618327447,0.9999999999999998,0.04057500989798765,0.0018107741059302852,0.5651336228289592,3.3422138886441676e-16,1.0,1.1765527061241547,1.0,0.0014523999998345971
48,20,44,16.76315682461259,0.15934110387732742,0.5046257994532254,0.5291850194956884,25.400880935793044,2.2887833992611187e-16,0.6257793986066321,30.03741113311834,0.9999999999999998,0.9999999999999997,20,1,24,20,0.6257793986066321,30.03741113311834,0.9999999999999997,0.031525791403071476,0.012028130608117204,0.5291850194956886,2.2887833992611187e-16,0.9999999999999998,1.1825342282043392,1.0,32,20,0.6257793986066321,30.03741113311834,0.9999999999999997,0.031525791403071476,0.001736111111111111,0.5291850194956886,2.2887833992611187e-16,0.9999999999999998,1.1825342282043392,1.0,0.001361300004646182
49,20,45,16.914424499943262,0.18479883646351197,0.5187595947120748,0.5506924069424818,26.98392794018161,2.237726045655905e-16,0.6485543919766045,31.77916520685362,0.9999999999999998,0.9999999999999996,20,1,24,20,0.6485543919766045,31.77916520685362,0.9999999999999996,0.03447043972403238,0.011661807580174927,0.550692406942482,2.237726045655905e-16,0.9999999999999998,1.1777071624747208,1.0,32,20,0.6485543919766045,31.77916520685362,0.9999999999999996,0.03447043972403238,0.001665972511453561,0.550692406942482,2.237726045655905e-16,0.9999999999999998,1.1777071624747208,1.0,0.0013083000085316598
50,21,46,17.585956255932313,0.15046697258103225,0.4937056024613501,0.516125499989514,25.806274999475697,3.3766115072321297e-16,0.6106614336714669,30.533071683573343,0.9999999999999998,0.9999999999999994,21,1,24,21,0.6106614336714669,30.533071683573343,0.9999999999999994,0.02713114097040568,0.01131370849898476,0.5161254999895143,3.3766115072321297e-16,1.0000000000000002,1.1831646250454078,1.0,32,21,0.6106614336714669,30.533071683573343,0.9999999999999994,0.02713114097040568,0.0016,0.5161254999895143,3.3766115072321297e-16,1.0000000000000002,1.1831646250454078,1.0,0.001476000004913658
51,21,47,17.738244600315372,0.1747918960522597,0.5080730898217561,0.5372992383454217,27.402261155616507,2.3714374201337736e-16,0.6332840947064974,32.29748883003137,0.9999999999999998,0.9999999999999993,21,1,24,21,0.6332840947064974,32.29748883003137,0.9999999999999993,0.029690161042242043,0.010982588894337331,0.5372992383454219,2.3714374201337736e-16,0.9999999999999999,1.1786432019830417,1.0,32,21,0.6332840947064974,32.29748883003137,0.9999999999999993,0.029690161042242043,0.0015378700499807767,0.5372992383454219,2.3714374201337736e-16,0.9999999999999999,1.1786432019830417,1.0,0.0014198999851942062
52,22,48,18.408907099947005,0.14261846614213752,0.4834398695168267,0.5040378302500542,26.20996717300282,1.6653345369377348e-16,0.5966019135945967,31.023299506919027,0.9999999999999998,1.0000000000000004,22,1,24,22,0.5966019135945967,31.023299506919027,1.0000000000000004,0.023640765854803885,0.010667311465869791,0.5040378302500543,1.6653345369377348e-16,0.9999999999999999,1.1836451111191817,1.0,32,22,0.5966019135945967,31.023299506919027,1.0000000000000004,0.023640765854803885,0.0014792899408284023,0.5040378302500543,1.6653345369377348e-16,0.9999999999999999,1.1836451111191817,1.0,0.0015901000006124377
53,23,49,19.075468903417228,0.11294511088155533,0.4576075733987513,0.47133988724055637,24.981014023749488,2.8066088919804617e-16,0.5599768063262436,29.67877073529091,0.9999999999999998,0.9999999999999991,23,1,24,23,0.5599768063262436,29.67877073529091,0.9999999999999991,0.017664198937218226,0.010366835014995399,0.47133988724055664,2.8066088919804617e-16,1.0,1.1880530833166043,1.0,32,23,0.5599768063262436,29.67877073529091,0.9999999999999991,0.017664198937218226,0.001423994304022784,0.47133988724055664,2.8066088919804617e-16,1.0,1.1880530833166043,1.0,0.0016662999987602234
54,23,50,19.232006626097256,0.13565173051430177,0.473790995266216,0.4928278595887982,26.612704417795104,2.7755575615628914e-16,0.5835109357010179,31.509590527854964,0.9999999999999998,0.9999999999999991,23,1,25,23,0.5835109357010179,31.509590527854964,0.9999999999999991,0.019667343953588545,0.010080204702811433,0.49282785958879854,2.7755575615628914e-16,1.0,1.1840055799359295,1.0,33,23,0.5835109357010179,31.509590527854964,0.9999999999999991,0.019667343953588545,0.0013717421124828531,0.49282785958879854,2.7755575615628914e-16,1.0,1.1840055799359295,1.0,0.0015540999884251505
55,24,51,19.897986952425672,0.10775957712973086,0.4486019210579355,0.4613629916237849,25.37496453930817,2.7755575615628914e-16,0.5481333758478424,30.147335671631332,0.9999999999999998,1.0,24,1,25,24,0.5481333758478424,30.147335671631332,1.0,0.012741235897721904,0.009806543454010793,0.4613629916237852,2.7755575615628914e-16,1.0,1.1880740020318183,1.0,33,24,0.5481333758478424,30.147335671631332,1.0,0.012741235897721904,0.001322314049586777,0.4613629916237852,2.7755575615628914e-16,1.0,1.1880740020318183,1.0,0.0016419000166933984
56,24,52,20.05525135422183,0.1294460293883377,0.4647202207216463,0.4824118137773805,27.01506157153331,2.220446049250313e-16,0.5713056515506123,31.99311648683429,0.9999999999999998,0.9999999999999998,24,1,25,24,0.5713056515506123,31.99311648683429,0.9999999999999998,0.014215731184993976,0.009545044354015157,0.48241181377738074,2.220446049250313e-16,1.0,1.184269612050284,1.0,33,24,0.5713056515506123,31.99311648683429,0.9999999999999998,0.014215731184993976,0.0012755102040816326,0.48241181377738074,2.220446049250313e-16,1.0,1.184269612050284,1.0,0.0015928999928291887
57,25,53,20.720698324414176,0.10316654839830745,0.44017557632537896,0.4521038317707558,25.76991841093308,2.779024842816778e-16,0.5371170646200235,30.61567268334134,0.9999999999999998,0.9999999999999999,25,1,25,25,0.5371170646200235,30.61567268334134,0.9999999999999999,0.008925770281225627,0.009294963909228378,0.4521038317707561,2.779024842816778e-16,1.0,1.188039177894813,1.0,33,25,0.5371170646200235,30.61567268334134,0.9999999999999999,0.008925770281225627,0.0012311480455524776,0.4521038317707561,2.779024842816778e-16,1.0,1.188039177894813,1.0,0.0017288000090047717
58,25,54,20.87863732112538,0.12389961656849957,0.4561890580405231,0.47271510623389323,27.41747616156581,2.2591401799415137e-16,0.5599102027405309,32.47479175895079,0.9999999999999998,0.9999999999999998,25,1,25,25,0.5599102027405309,32.47479175895079,0.9999999999999998,0.009999663305722818,0.009055616059291212,0.47271510623389346,2.2591401799415137e-16,1.0,1.1844559129944425,1.0,33,25,0.5599102027405309,32.47479175895079,0.9999999999999998,0.009999663305722818,0.0011890606420927466,0.47271510623389346,2.2591401799415137e-16,1.0,1.1844559129944425,1.0,0.0016992000164464116
